Day of Week,Entry Time,Exit Time,Meal Type,Number of People,Time Spent (minutes),Bill Amount ($),Gender,Table Location,Reservation,Customer Satisfaction,Live Music,Age Group,Weather Condition
Sunday,09:50,12:04,Dinner,2,134,88.73,Other,Outdoor,No,1,No,18-24,Clear
Sunday,18:02,19:48,Lunch,3,106,43.69,Other,Booth,No,3,Yes,56+,Cloudy
Monday,06:58,08:33,Lunch,4,95,24.94,Other,Window,Yes,3,No,25-35,Sunny
Tuesday,06:19,07:05,Dinner,6,46,110.02,Other,Window,No,1,No,25-35,Cloudy
Saturday,21:29,00:14,Lunch,2,165,122.07,Female,Window,Yes,4,No,46-55,Cloudy
Sunday,21:12,00:05,Lunch,2,173,92.99,Male,Outdoor,No,4,Yes,36-45,Cloudy
Friday,19:16,20:05,Dinner,3,49,129.65,Male,Window,Yes,5,Yes,25-35,Clear
Sunday,12:10,12:57,Dinner,3,47,121.32,Male,Outdoor,Yes,4,Yes,56+,Cloudy
Tuesday,17:46,18:28,Dinner,6,42,31.5,Male,Window,No,2,Yes,18-24,Sunny
Sunday,21:19,22:03,Dinner,1,44,141.13,Other,Outdoor,Yes,1,No,56+,Clear
Tuesday,20:53,23:30,Breakfast,4,157,121.3,Other,Outdoor,Yes,4,Yes,56+,Rainy
Saturday,19:32,20:58,Dinner,3,86,60.45,Female,Booth,Yes,5,No,25-35,Clear
Thursday,15:45,16:42,Dinner,2,57,109.72,Male,Outdoor,Yes,4,Yes,56+,Cloudy
Thursday,16:10,18:28,Breakfast,2,138,147.36,Female,Window,Yes,4,Yes,56+,Clear
Tuesday,15:39,17:23,Dinner,2,104,38.27,Male,Outdoor,No,3,Yes,46-55,Clear
Thursday,10:05,11:48,Dinner,1,103,63.29,Other,Outdoor,No,1,Yes,18-24,Rainy
Wednesday,11:56,13:43,Lunch,5,107,30.2,Male,Outdoor,Yes,5,No,56+,Sunny
Monday,09:01,12:01,Lunch,6,180,89.15,Female,Booth,No,4,Yes,56+,Clear
Saturday,15:44,16:55,Lunch,1,71,117.93,Female,Window,Yes,2,No,56+,Sunny
Tuesday,16:20,19:04,Lunch,3,164,82.61,Male,Window,No,1,Yes,46-55,Sunny
Saturday,08:56,11:26,Breakfast,4,150,111.08,Female,Outdoor,Yes,5,Yes,46-55,Cloudy
Tuesday,13:40,15:18,Breakfast,3,98,79.71,Female,Booth,No,2,Yes,18-24,Sunny
Monday,06:41,08:48,Dinner,2,127,76.07,Female,Booth,No,2,No,18-24,Cloudy
Saturday,14:02,15:25,Breakfast,5,83,21.7,Female,Outdoor,Yes,1,No,46-55,Sunny
Tuesday,06:14,07:53,Dinner,2,99,81.22,Other,Outdoor,No,4,No,46-55,Clear
Monday,13:48,14:45,Breakfast,1,57,18.32,Female,Outdoor,No,1,No,25-35,Rainy
Wednesday,16:25,18:40,Breakfast,5,135,123.01,Other,Window,Yes,3,No,25-35,Cloudy
Saturday,07:35,10:24,Dinner,5,169,25.36,Female,Outdoor,No,3,No,18-24,Rainy
Thursday,18:11,21:10,Dinner,1,179,101.17,Other,Booth,Yes,1,No,46-55,Rainy
Tuesday,13:47,15:45,Dinner,6,118,37.69,Other,Outdoor,No,3,No,36-45,Clear
Friday,12:11,12:44,Breakfast,2,33,142.07,Female,Window,No,2,No,46-55,Cloudy
Thursday,15:09,16:52,Lunch,2,103,148.3,Other,Booth,Yes,2,Yes,25-35,Cloudy
Friday,10:03,12:23,Lunch,3,140,36.1,Female,Outdoor,Yes,2,Yes,56+,Rainy
Saturday,09:44,10:38,Breakfast,3,54,75.12,Female,Window,No,3,No,46-55,Clear
Wednesday,13:45,14:43,Dinner,2,58,110.86,Female,Window,Yes,2,No,56+,Rainy
Friday,19:21,19:58,Dinner,6,37,84.72,Other,Window,Yes,2,Yes,25-35,Sunny
Thursday,20:09,20:54,Lunch,5,45,82.34,Other,Booth,No,2,Yes,18-24,Rainy
Monday,08:35,11:11,Lunch,2,156,88.44,Other,Outdoor,Yes,1,No,46-55,Clear
Thursday,16:52,19:09,Lunch,6,137,18.03,Other,Window,No,3,No,46-55,Rainy
Wednesday,20:47,23:23,Lunch,4,156,34.71,Female,Window,Yes,3,No,36-45,Rainy
Thursday,08:32,09:37,Dinner,4,65,42.1,Other,Booth,No,1,Yes,25-35,Clear
Monday,18:36,21:22,Dinner,3,166,36.09,Female,Outdoor,No,2,Yes,56+,Cloudy
Tuesday,09:57,11:33,Breakfast,5,96,130.87,Other,Window,No,4,No,18-24,Sunny
Wednesday,21:11,22:07,Lunch,6,56,69.82,Female,Window,No,2,Yes,18-24,Clear
Wednesday,11:32,13:04,Breakfast,2,92,146.87,Female,Outdoor,Yes,3,No,56+,Rainy
Sunday,19:31,22:22,Lunch,3,171,127.28,Male,Booth,Yes,1,No,46-55,Cloudy
Saturday,06:35,07:32,Dinner,1,57,92.39,Female,Outdoor,Yes,2,No,36-45,Rainy
Monday,16:41,18:42,Lunch,1,121,149.84,Other,Outdoor,Yes,4,No,25-35,Clear
Tuesday,14:10,15:04,Lunch,3,54,32.72,Male,Booth,Yes,3,No,46-55,Sunny
Thursday,11:55,12:45,Breakfast,6,50,30.3,Male,Outdoor,No,3,Yes,56+,Clear
Monday,07:49,09:46,Dinner,4,117,139.2,Other,Outdoor,Yes,2,Yes,18-24,Clear
Tuesday,15:21,17:27,Breakfast,4,126,127.41,Female,Outdoor,Yes,5,No,18-24,Sunny
Monday,21:01,23:45,Dinner,3,164,51.47,Male,Booth,No,4,Yes,46-55,Sunny
Thursday,09:48,12:34,Breakfast,1,166,36.44,Female,Outdoor,No,3,Yes,56+,Sunny
Sunday,13:12,14:10,Lunch,3,58,73.08,Male,Booth,No,5,Yes,56+,Cloudy
Monday,14:21,15:11,Dinner,2,50,89.12,Other,Window,No,3,Yes,46-55,Cloudy
Friday,20:59,22:43,Breakfast,1,104,51.62,Male,Booth,No,5,No,18-24,Clear
Monday,12:07,12:42,Lunch,6,35,75.01,Male,Window,Yes,3,Yes,36-45,Rainy
Tuesday,17:11,18:58,Lunch,4,107,58.98,Female,Booth,Yes,1,No,56+,Cloudy
Saturday,12:40,14:33,Breakfast,3,113,61.53,Male,Outdoor,No,5,Yes,46-55,Sunny
Tuesday,13:17,14:37,Dinner,4,80,113.38,Female,Window,No,1,Yes,56+,Clear
Monday,16:33,18:53,Breakfast,1,140,111.22,Female,Window,No,2,No,25-35,Sunny
Tuesday,11:43,14:31,Dinner,4,168,141.62,Other,Booth,Yes,2,No,25-35,Sunny
Friday,16:21,17:20,Lunch,3,59,70.18,Other,Window,No,5,Yes,46-55,Sunny
Tuesday,21:35,23:41,Lunch,3,126,45.76,Other,Booth,Yes,1,Yes,56+,Clear
Monday,21:56,00:11,Dinner,1,135,20.24,Female,Outdoor,Yes,2,Yes,46-55,Clear
Monday,10:32,12:56,Breakfast,5,144,64.69,Other,Outdoor,Yes,5,Yes,18-24,Clear
Wednesday,18:55,20:38,Dinner,4,103,105.27,Female,Booth,Yes,5,No,18-24,Rainy
Saturday,13:54,14:42,Breakfast,3,48,17.5,Female,Outdoor,Yes,4,Yes,36-45,Sunny
Wednesday,09:36,11:18,Breakfast,3,102,56.87,Female,Window,Yes,5,Yes,36-45,Cloudy
Saturday,13:49,16:26,Dinner,2,157,45.41,Female,Window,No,4,No,25-35,Clear
Monday,18:11,20:32,Dinner,5,141,97.4,Other,Booth,Yes,1,No,18-24,Cloudy
Sunday,20:15,21:19,Breakfast,6,64,88.24,Male,Outdoor,No,5,No,56+,Clear
Thursday,18:37,20:38,Lunch,5,121,25.95,Male,Window,Yes,4,Yes,46-55,Clear
Sunday,12:46,13:44,Breakfast,1,58,112.39,Male,Window,No,5,Yes,46-55,Sunny
Friday,14:03,15:29,Dinner,4,86,86.05,Female,Window,No,5,Yes,25-35,Clear
Tuesday,19:21,21:55,Dinner,3,154,50.09,Male,Booth,No,5,No,36-45,Rainy
Saturday,17:55,19:52,Dinner,3,117,75.34,Other,Outdoor,Yes,3,No,36-45,Clear
Friday,13:51,15:58,Lunch,4,127,125.63,Female,Booth,No,5,Yes,46-55,Sunny
Wednesday,10:33,11:05,Lunch,4,32,39.19,Other,Outdoor,No,3,No,46-55,Sunny
Sunday,11:52,12:53,Lunch,5,61,146.72,Female,Window,No,4,No,25-35,Rainy
Sunday,11:01,12:05,Dinner,6,64,97.71,Male,Booth,No,4,Yes,18-24,Cloudy
Friday,06:37,09:02,Breakfast,3,145,62.63,Female,Outdoor,Yes,3,Yes,25-35,Sunny
Friday,19:56,21:12,Lunch,4,76,58.98,Other,Booth,Yes,4,Yes,36-45,Cloudy
Tuesday,08:19,11:01,Breakfast,4,162,105.52,Other,Booth,No,1,No,25-35,Sunny
Tuesday,08:46,11:18,Dinner,3,152,96.27,Female,Booth,Yes,2,Yes,25-35,Cloudy
Monday,13:38,15:54,Dinner,6,136,134.03,Other,Window,No,5,Yes,36-45,Clear
Monday,12:01,14:05,Breakfast,4,124,38.74,Other,Outdoor,No,4,Yes,56+,Sunny
Wednesday,20:37,23:25,Lunch,1,168,57.53,Other,Booth,No,1,No,18-24,Rainy
Saturday,07:59,10:42,Breakfast,5,163,88.03,Other,Window,Yes,1,No,46-55,Clear
Thursday,13:58,16:30,Breakfast,4,152,15.61,Male,Window,Yes,4,No,18-24,Cloudy
Sunday,17:56,18:27,Lunch,6,31,91.62,Other,Window,No,3,Yes,25-35,Rainy
Friday,06:33,09:26,Dinner,3,173,56.62,Female,Outdoor,No,5,No,56+,Cloudy
Tuesday,18:25,19:51,Dinner,1,86,74.41,Male,Window,No,5,No,46-55,Sunny
Friday,15:19,16:56,Lunch,1,97,13.83,Male,Window,No,5,Yes,18-24,Sunny
Wednesday,06:51,09:00,Lunch,3,129,22.07,Female,Window,No,2,Yes,25-35,Clear
Saturday,11:44,12:52,Dinner,6,68,92.11,Female,Booth,Yes,3,Yes,56+,Rainy
Monday,17:13,18:16,Lunch,1,63,93.55,Male,Window,Yes,3,No,18-24,Rainy
Friday,15:01,15:34,Lunch,5,33,133.65,Other,Booth,No,2,No,25-35,Clear
Sunday,17:21,19:54,Dinner,4,153,24.06,Other,Booth,Yes,2,No,46-55,Clear
Thursday,12:19,15:12,Breakfast,1,173,147.5,Female,Outdoor,Yes,1,Yes,18-24,Sunny
Sunday,12:21,13:11,Lunch,3,50,135.46,Male,Window,Yes,4,No,46-55,Cloudy
Wednesday,16:49,18:53,Dinner,6,124,96.57,Other,Booth,No,5,Yes,18-24,Rainy
Sunday,06:02,07:32,Dinner,4,90,64.23,Other,Booth,Yes,2,No,36-45,Rainy
Friday,13:07,13:48,Lunch,4,41,16.36,Female,Booth,Yes,1,No,36-45,Clear
Monday,21:36,22:41,Dinner,2,65,141.38,Other,Booth,No,4,No,46-55,Sunny
Wednesday,17:53,19:43,Dinner,4,110,22.09,Other,Window,No,5,Yes,46-55,Cloudy
Tuesday,17:42,20:13,Lunch,3,151,87.8,Female,Booth,Yes,1,Yes,46-55,Cloudy
Friday,11:06,13:44,Dinner,5,158,22.06,Female,Outdoor,Yes,2,Yes,46-55,Sunny
Thursday,15:43,17:31,Dinner,5,108,121.18,Male,Outdoor,Yes,4,Yes,56+,Clear
Tuesday,12:15,12:48,Lunch,2,33,10.28,Other,Booth,Yes,2,Yes,36-45,Sunny
Friday,06:29,07:35,Breakfast,2,66,34.9,Other,Booth,Yes,2,No,25-35,Cloudy
Thursday,11:06,11:53,Breakfast,4,47,43.46,Female,Window,No,2,Yes,18-24,Clear
Tuesday,08:13,09:06,Lunch,6,53,128.58,Male,Window,No,1,No,36-45,Rainy
Wednesday,21:42,23:40,Lunch,2,118,130.5,Male,Window,No,2,No,56+,Rainy
Friday,12:48,15:47,Lunch,2,179,71.38,Other,Outdoor,Yes,3,Yes,25-35,Cloudy
Sunday,08:05,09:17,Breakfast,6,72,62.53,Female,Window,Yes,5,Yes,25-35,Cloudy
Saturday,16:33,19:13,Dinner,1,160,115.68,Other,Outdoor,No,2,Yes,36-45,Sunny
Friday,19:58,20:28,Breakfast,5,30,98.14,Male,Booth,No,2,No,56+,Sunny
Wednesday,11:34,12:35,Dinner,5,61,88.05,Male,Window,No,1,Yes,25-35,Sunny
Sunday,14:33,17:12,Dinner,2,159,20.76,Other,Window,Yes,4,Yes,46-55,Rainy
Saturday,17:33,19:56,Lunch,4,143,122.84,Other,Window,Yes,4,No,25-35,Clear
Friday,15:41,18:37,Dinner,2,176,17.1,Male,Window,No,5,Yes,36-45,Clear
Friday,18:37,19:35,Breakfast,5,58,32.84,Female,Window,No,4,Yes,36-45,Cloudy
Sunday,20:12,22:46,Dinner,3,154,48.58,Male,Window,Yes,5,No,56+,Clear
Saturday,12:47,13:45,Lunch,6,58,140.51,Male,Booth,No,4,No,25-35,Clear
Sunday,21:46,00:39,Dinner,5,173,94.44,Other,Outdoor,Yes,4,No,46-55,Clear
Sunday,14:14,15:50,Breakfast,4,96,63.1,Other,Outdoor,Yes,3,No,56+,Clear
Thursday,16:24,18:20,Dinner,4,116,13.31,Female,Window,Yes,3,No,25-35,Sunny
Sunday,20:26,22:10,Dinner,1,104,142.72,Female,Window,No,5,No,36-45,Cloudy
Sunday,12:01,13:14,Dinner,6,73,35.77,Other,Window,Yes,3,No,46-55,Rainy
Saturday,09:57,12:10,Lunch,4,133,124.77,Male,Outdoor,No,5,Yes,25-35,Clear
Saturday,12:16,13:32,Lunch,5,76,98.68,Other,Window,Yes,5,Yes,25-35,Rainy
Friday,13:28,15:29,Breakfast,1,121,140.85,Other,Booth,Yes,2,Yes,18-24,Sunny
Sunday,09:26,11:04,Dinner,3,98,40.09,Female,Booth,Yes,5,No,25-35,Sunny
Wednesday,19:12,20:57,Breakfast,5,105,18.2,Female,Outdoor,No,2,No,56+,Rainy
Sunday,17:10,18:20,Lunch,2,70,56.53,Male,Outdoor,Yes,3,No,25-35,Rainy
Thursday,17:32,18:53,Dinner,4,81,122.96,Male,Booth,No,1,Yes,25-35,Sunny
Tuesday,09:23,11:39,Dinner,6,136,130.15,Male,Window,No,5,No,18-24,Clear
Sunday,21:22,00:04,Breakfast,6,162,117.28,Other,Booth,No,1,Yes,18-24,Sunny
Saturday,15:26,17:19,Dinner,3,113,30.98,Other,Window,Yes,3,Yes,36-45,Cloudy
Sunday,12:02,13:27,Breakfast,2,85,34.29,Female,Booth,Yes,5,Yes,56+,Sunny
Friday,19:50,22:20,Dinner,5,150,69.04,Male,Outdoor,Yes,3,Yes,36-45,Rainy
Thursday,15:41,17:25,Breakfast,1,104,134.66,Male,Outdoor,Yes,1,No,18-24,Cloudy
Monday,11:45,12:16,Breakfast,1,31,129.52,Male,Booth,Yes,1,No,56+,Sunny
Friday,09:51,11:29,Dinner,5,98,88.07,Other,Outdoor,Yes,3,No,46-55,Rainy
Tuesday,17:33,18:33,Breakfast,3,60,55.58,Other,Outdoor,No,5,No,18-24,Sunny
Thursday,13:47,16:03,Lunch,1,136,11.56,Female,Window,Yes,1,Yes,56+,Sunny
Thursday,20:57,21:55,Breakfast,1,58,34.13,Male,Outdoor,No,4,No,56+,Sunny
Saturday,18:29,20:18,Lunch,1,109,55.53,Male,Window,Yes,3,No,46-55,Rainy
Friday,16:12,18:36,Dinner,2,144,121.31,Male,Window,No,4,No,18-24,Sunny
Saturday,13:07,15:35,Lunch,5,148,149.09,Other,Booth,No,2,No,56+,Sunny
Friday,14:57,17:41,Dinner,5,164,146.57,Other,Outdoor,No,4,Yes,18-24,Cloudy
Monday,20:26,21:12,Lunch,5,46,37.79,Female,Window,Yes,5,Yes,18-24,Clear
Sunday,13:13,15:30,Lunch,3,137,94.27,Other,Outdoor,No,4,No,36-45,Cloudy
Tuesday,07:56,10:24,Lunch,3,148,140.95,Female,Booth,No,3,No,46-55,Sunny
Saturday,18:13,19:55,Dinner,2,102,112.17,Female,Window,No,2,No,56+,Cloudy
Saturday,09:23,10:49,Breakfast,3,86,70.7,Other,Window,No,1,Yes,36-45,Cloudy
Saturday,17:07,18:56,Dinner,5,109,44.48,Female,Window,Yes,5,No,25-35,Cloudy
Sunday,12:14,14:27,Dinner,4,133,119.23,Other,Booth,Yes,1,No,36-45,Rainy
Sunday,19:22,22:11,Lunch,4,169,126.64,Female,Window,Yes,1,Yes,56+,Sunny
Saturday,07:44,09:45,Dinner,1,121,107.94,Male,Booth,No,5,Yes,18-24,Clear
Wednesday,09:38,10:29,Dinner,4,51,32.78,Female,Booth,No,5,No,56+,Sunny
Thursday,15:05,15:42,Dinner,4,37,84.52,Other,Booth,No,3,Yes,18-24,Rainy
Friday,15:52,17:48,Breakfast,6,116,131.2,Other,Outdoor,No,1,Yes,46-55,Sunny
Thursday,16:35,18:30,Breakfast,4,115,13.23,Female,Booth,No,3,No,56+,Cloudy
Friday,10:15,12:31,Breakfast,6,136,26.44,Other,Outdoor,Yes,1,Yes,56+,Clear
Saturday,11:48,13:15,Dinner,3,87,25.52,Female,Window,No,5,No,56+,Cloudy
Tuesday,13:03,13:58,Breakfast,6,55,101.89,Female,Outdoor,No,1,Yes,36-45,Clear
Sunday,15:57,16:42,Lunch,1,45,124.56,Other,Outdoor,No,4,No,18-24,Cloudy
Monday,08:52,11:21,Lunch,1,149,23.73,Male,Outdoor,No,1,No,36-45,Sunny
Sunday,09:53,12:40,Breakfast,3,167,143.69,Female,Window,No,2,Yes,36-45,Clear
Friday,07:40,09:16,Dinner,5,96,106.42,Other,Window,No,2,No,18-24,Rainy
Monday,19:25,21:44,Lunch,3,139,12.33,Female,Outdoor,No,5,Yes,36-45,Sunny
Monday,06:50,08:46,Dinner,2,116,129.17,Male,Booth,Yes,2,Yes,36-45,Sunny
Sunday,07:03,07:57,Dinner,1,54,66.15,Other,Window,No,4,No,56+,Clear
Tuesday,18:52,19:42,Lunch,2,50,40.57,Male,Booth,Yes,5,No,46-55,Clear
Monday,21:53,23:29,Lunch,5,96,127.33,Other,Window,No,3,Yes,25-35,Rainy
Friday,17:35,18:33,Breakfast,4,58,14.09,Male,Booth,No,2,No,18-24,Clear
Thursday,08:20,10:46,Dinner,2,146,23.14,Female,Window,Yes,1,Yes,56+,Rainy
Sunday,14:33,17:02,Lunch,1,149,79.26,Female,Window,Yes,2,Yes,18-24,Sunny
Sunday,20:57,21:49,Breakfast,5,52,29.03,Other,Window,No,5,No,36-45,Clear
Tuesday,10:08,12:45,Dinner,4,157,24.55,Female,Outdoor,No,1,No,18-24,Clear
Tuesday,16:57,17:31,Lunch,3,34,77.81,Male,Outdoor,No,3,Yes,18-24,Clear
Sunday,08:24,11:00,Breakfast,5,156,36.51,Male,Outdoor,No,5,Yes,46-55,Cloudy
Tuesday,21:56,00:38,Lunch,4,162,51.76,Male,Window,No,3,No,25-35,Rainy
Wednesday,13:45,16:18,Lunch,6,153,64.48,Male,Booth,Yes,5,Yes,25-35,Sunny
Sunday,11:14,11:54,Breakfast,3,40,49.11,Other,Booth,Yes,2,No,46-55,Sunny
Saturday,16:17,17:21,Lunch,6,64,67.54,Male,Outdoor,No,4,No,46-55,Clear
Tuesday,07:47,08:47,Lunch,1,60,80.54,Female,Booth,Yes,3,Yes,18-24,Cloudy
Saturday,19:54,20:28,Lunch,5,34,76.81,Female,Window,No,4,No,46-55,Cloudy
Tuesday,20:55,22:47,Breakfast,4,112,100.35,Female,Outdoor,No,3,Yes,36-45,Rainy
Saturday,16:33,18:05,Lunch,2,92,104.75,Female,Booth,No,4,Yes,18-24,Sunny
Thursday,14:38,16:06,Breakfast,5,88,67.12,Other,Booth,Yes,3,Yes,46-55,Sunny
Sunday,21:42,00:36,Breakfast,5,174,125.57,Male,Booth,No,1,No,36-45,Clear
Thursday,10:52,13:16,Dinner,6,144,99.43,Other,Window,Yes,3,No,25-35,Sunny
Saturday,10:29,11:42,Lunch,6,73,67.94,Other,Booth,No,1,No,46-55,Rainy
Wednesday,13:41,16:04,Lunch,1,143,96.06,Male,Window,Yes,1,No,46-55,Cloudy
Thursday,12:34,13:19,Breakfast,1,45,116.21,Male,Window,No,1,No,46-55,Sunny
Friday,21:41,23:10,Dinner,4,89,58.84,Male,Outdoor,No,4,No,18-24,Rainy
Tuesday,08:11,09:46,Lunch,5,95,33.05,Male,Window,Yes,1,Yes,46-55,Clear
Thursday,07:05,09:12,Dinner,3,127,86.83,Other,Outdoor,No,3,Yes,18-24,Sunny
Wednesday,20:29,22:43,Dinner,4,134,131.61,Female,Booth,Yes,1,No,56+,Sunny
Thursday,15:38,16:30,Breakfast,6,52,45.11,Male,Window,Yes,2,No,56+,Cloudy
Saturday,18:11,20:20,Dinner,1,129,82.41,Female,Booth,Yes,1,No,18-24,Clear
Tuesday,13:26,15:57,Lunch,1,151,86.01,Other,Window,No,2,No,36-45,Cloudy
Wednesday,20:02,22:43,Lunch,2,161,49.2,Male,Window,Yes,5,No,46-55,Rainy
Thursday,18:26,20:20,Dinner,6,114,85.05,Male,Outdoor,Yes,5,No,56+,Sunny
Saturday,21:09,23:28,Lunch,3,139,24.23,Female,Booth,Yes,2,No,56+,Cloudy
Sunday,12:03,14:59,Lunch,6,176,123.74,Male,Outdoor,Yes,4,Yes,56+,Rainy
Monday,16:43,19:35,Breakfast,5,172,43.17,Male,Window,No,1,No,18-24,Cloudy
Tuesday,14:51,16:31,Dinner,3,100,22.18,Other,Booth,Yes,1,Yes,46-55,Sunny
Friday,08:12,10:16,Lunch,5,124,89.56,Other,Window,Yes,5,No,56+,Cloudy
Monday,11:31,14:20,Breakfast,6,169,79.97,Other,Booth,Yes,4,No,46-55,Rainy
Wednesday,11:10,13:46,Lunch,2,156,52.6,Male,Window,No,1,No,56+,Rainy
Monday,19:47,20:23,Breakfast,1,36,28.83,Other,Window,Yes,2,Yes,36-45,Clear
Thursday,16:04,16:55,Dinner,3,51,92.56,Other,Outdoor,No,4,No,36-45,Cloudy
Tuesday,12:56,14:50,Breakfast,5,114,20.35,Other,Window,Yes,3,No,18-24,Clear
Sunday,12:58,14:45,Breakfast,5,107,149.78,Other,Window,Yes,2,Yes,46-55,Cloudy
Sunday,20:26,22:02,Breakfast,5,96,102.36,Other,Booth,Yes,1,Yes,25-35,Cloudy
Monday,12:14,13:55,Lunch,3,101,127.55,Male,Booth,Yes,5,Yes,56+,Rainy
Saturday,07:18,09:13,Breakfast,6,115,80.76,Female,Outdoor,Yes,5,Yes,36-45,Rainy
Wednesday,06:56,09:03,Dinner,3,127,22.94,Female,Booth,No,4,No,25-35,Sunny
Wednesday,09:46,11:25,Lunch,3,99,22.61,Female,Booth,No,3,Yes,25-35,Sunny
Monday,17:06,18:27,Lunch,5,81,101.84,Other,Booth,No,2,No,56+,Rainy
Monday,07:32,08:29,Lunch,6,57,12.94,Male,Outdoor,No,5,Yes,36-45,Sunny
Saturday,19:07,21:19,Breakfast,2,132,16.76,Female,Window,Yes,1,Yes,18-24,Rainy
Friday,13:21,15:11,Dinner,2,110,55.09,Female,Outdoor,No,4,Yes,25-35,Clear
Monday,09:26,11:09,Lunch,4,103,93.49,Male,Outdoor,No,3,Yes,25-35,Sunny
Friday,14:49,16:51,Dinner,5,122,56.01,Female,Window,Yes,4,Yes,18-24,Cloudy
Sunday,06:43,08:56,Breakfast,4,133,119.98,Male,Booth,Yes,3,No,18-24,Cloudy
Monday,19:20,22:06,Dinner,3,166,108.14,Female,Booth,Yes,1,No,36-45,Cloudy
Tuesday,15:41,16:53,Dinner,5,72,34.94,Female,Booth,Yes,3,Yes,36-45,Rainy
Thursday,18:37,19:34,Dinner,1,57,127.79,Male,Booth,Yes,1,No,25-35,Rainy
Monday,12:23,14:31,Lunch,1,128,138.89,Other,Outdoor,No,1,No,18-24,Sunny
Monday,07:45,09:57,Lunch,3,132,125.67,Female,Outdoor,No,3,Yes,46-55,Sunny
Monday,19:35,20:49,Breakfast,3,74,43.31,Other,Outdoor,Yes,3,No,46-55,Rainy
Wednesday,11:09,13:37,Breakfast,1,148,12.01,Other,Window,No,2,Yes,36-45,Rainy
Wednesday,11:49,14:10,Lunch,1,141,17.94,Female,Window,No,1,Yes,46-55,Cloudy
Saturday,16:05,18:32,Lunch,2,147,121.45,Female,Outdoor,Yes,1,Yes,56+,Rainy
Monday,16:58,19:07,Lunch,3,129,89.01,Female,Booth,No,4,No,36-45,Clear
Monday,12:18,14:30,Breakfast,5,132,37.43,Male,Outdoor,No,2,Yes,46-55,Sunny
Friday,07:25,10:20,Breakfast,2,175,66.57,Female,Outdoor,Yes,4,No,25-35,Cloudy
Tuesday,17:44,18:59,Lunch,4,75,148.05,Male,Booth,No,5,No,56+,Rainy
Friday,09:52,12:31,Dinner,1,159,34.31,Other,Outdoor,No,1,Yes,36-45,Sunny
Sunday,17:19,17:58,Dinner,6,39,48.71,Male,Window,No,3,Yes,25-35,Cloudy
Friday,09:31,12:29,Lunch,6,178,140.97,Male,Window,Yes,2,No,36-45,Sunny
Tuesday,12:24,14:08,Breakfast,5,104,38.32,Male,Outdoor,Yes,3,No,25-35,Clear
Tuesday,14:29,16:21,Breakfast,1,112,25.09,Other,Window,Yes,3,Yes,36-45,Sunny
Wednesday,19:22,19:52,Lunch,4,30,138,Female,Booth,Yes,3,No,46-55,Clear
Wednesday,13:33,16:09,Breakfast,3,156,111.7,Male,Window,No,5,Yes,25-35,Clear
Friday,10:31,12:20,Dinner,4,109,48.96,Female,Booth,No,2,No,18-24,Sunny
Tuesday,14:22,16:05,Dinner,4,103,45.24,Male,Booth,No,5,Yes,25-35,Cloudy
Sunday,07:55,09:43,Breakfast,4,108,74.56,Male,Outdoor,Yes,2,Yes,18-24,Cloudy
Saturday,09:45,10:22,Dinner,5,37,48.61,Male,Booth,Yes,3,Yes,18-24,Rainy
Wednesday,09:22,10:36,Lunch,2,74,70.59,Other,Booth,No,3,Yes,56+,Cloudy
Thursday,11:25,12:03,Lunch,5,38,86.36,Female,Booth,Yes,2,Yes,36-45,Rainy
Saturday,18:24,20:23,Dinner,1,119,148.33,Other,Booth,No,5,Yes,25-35,Sunny
Thursday,09:22,12:22,Lunch,3,180,16.67,Female,Window,Yes,2,Yes,18-24,Cloudy
Wednesday,17:55,19:47,Dinner,3,112,50.94,Male,Window,No,2,No,36-45,Rainy
Tuesday,14:18,17:01,Dinner,3,163,17,Female,Window,No,5,Yes,46-55,Sunny
Monday,08:22,10:34,Breakfast,2,132,121.32,Female,Booth,Yes,4,Yes,46-55,Cloudy
Tuesday,10:48,13:47,Dinner,1,179,132.09,Female,Outdoor,No,5,Yes,46-55,Sunny
Monday,14:00,16:05,Dinner,2,125,112.92,Male,Window,Yes,2,Yes,25-35,Rainy
Saturday,10:12,11:28,Lunch,2,76,32.27,Female,Window,No,2,Yes,25-35,Clear
Monday,18:02,19:08,Lunch,5,66,14.26,Male,Outdoor,Yes,5,No,18-24,Sunny
Monday,14:38,15:16,Lunch,5,38,36.23,Male,Booth,Yes,4,No,56+,Sunny
Friday,07:36,10:03,Lunch,2,147,23.51,Male,Window,No,2,Yes,36-45,Clear
Thursday,15:15,16:30,Lunch,6,75,56.58,Other,Window,No,1,No,36-45,Cloudy
Friday,21:33,22:53,Lunch,1,80,49.2,Other,Booth,Yes,4,Yes,36-45,Clear
Sunday,19:18,19:48,Breakfast,4,30,35.36,Male,Outdoor,No,4,No,25-35,Clear
Saturday,08:47,11:19,Dinner,4,152,19.56,Other,Outdoor,Yes,4,Yes,56+,Sunny
Saturday,06:30,09:12,Breakfast,2,162,60.97,Female,Booth,No,1,Yes,46-55,Cloudy
Thursday,10:00,12:14,Lunch,4,134,49.05,Female,Outdoor,No,3,Yes,56+,Sunny
Thursday,17:42,18:29,Lunch,3,47,53.45,Female,Outdoor,Yes,4,Yes,25-35,Clear
Friday,11:43,13:22,Lunch,4,99,22.39,Male,Window,No,5,No,36-45,Rainy
